epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,116.747,1.43956,3.05542,2.34205,1.59892,0,0.348,0.35658,0.29711,0.18651,0.49495,0.24639,0.26397,0.15427,1.86024,4.65428,2.90028,2.17642,0,0.000332384,0.000332384,0.067094
2,219.399,1.4663,2.88659,2.12505,1.62144,0,0.27638,0.42059,0.38877,0.24664,0.54183,0.25283,0.33793,0.18817,1.72492,3.86848,2.87265,1.95393,0,0.000665385,0.000665385,0.0340937
3,320.817,1.43977,2.81725,2.04276,1.60611,0,0.37957,0.34877,0.3164,0.19099,0.37154,0.33017,0.29522,0.1691,1.82132,4.14566,2.65777,2.03239,0,0.00099706,0.00099706,0.00109203
4,422.092,1.4115,2.7736,1.98297,1.58159,0,0.50924,0.48496,0.51044,0.35013,0.49549,0.47734,0.49811,0.33916,1.55212,2.9759,2.00016,1.74648,0,0.00099552,0.00099552,0.00099552
5,522.468,1.33619,2.63406,1.86105,1.52211,0,0.46487,0.46129,0.45906,0.31487,0.47409,0.46445,0.45316,0.31426,1.68497,2.97648,2.28164,1.95595,0,0.000992045,0.000992045,0.000992045
6,624.084,1.29768,2.55274,1.77556,1.49788,0,0.58738,0.53007,0.54505,0.38076,0.58985,0.52101,0.53709,0.36998,1.50131,2.76352,2.08184,1.71466,0,0.000987589,0.000987589,0.000987589
7,725.259,1.27856,2.51675,1.73433,1.47458,0,0.51424,0.50319,0.493,0.34249,0.51572,0.49335,0.48034,0.32091,1.46342,2.85282,2.04019,1.68602,0,0.000982162,0.000982162,0.000982162
8,826.2,1.2452,2.44874,1.67337,1.45108,0,0.58121,0.5518,0.56173,0.41417,0.57689,0.54056,0.54796,0.40666,1.45141,2.60983,1.84256,1.65982,0,0.000975773,0.000975773,0.000975773
9,927.03,1.23659,2.4214,1.62297,1.43941,0,0.59003,0.58742,0.59267,0.41864,0.57787,0.57669,0.58194,0.40435,1.39902,2.56046,1.69088,1.59234,0,0.000968436,0.000968436,0.000968436
10,1028.01,1.20343,2.3794,1.58417,1.41498,0,0.58329,0.6127,0.6189,0.45467,0.59245,0.6097,0.61178,0.43932,1.35712,2.46466,1.62845,1.56232,0,0.000960166,0.000960166,0.000960166
11,1129.13,1.19377,2.33542,1.54728,1.40486,0,0.62903,0.61079,0.62395,0.45074,0.63337,0.60477,0.61635,0.43171,1.38181,2.47988,1.68599,1.57623,0,0.00095098,0.00095098,0.00095098
12,1229.95,1.18617,2.32059,1.52051,1.39755,0,0.58397,0.62487,0.61865,0.45522,0.58989,0.61104,0.60265,0.43536,1.33732,2.49431,1.65359,1.55534,0,0.000940895,0.000940895,0.000940895
13,1330.14,1.15929,2.27059,1.48637,1.38169,0,0.64658,0.59831,0.63287,0.47325,0.63782,0.59009,0.61916,0.46142,1.28794,2.34313,1.56198,1.51448,0,0.000929932,0.000929932,0.000929932
14,1430.29,1.15663,2.25221,1.46675,1.37318,0,0.67529,0.62036,0.64243,0.48104,0.68426,0.62112,0.63949,0.46407,1.29732,2.33617,1.5019,1.50367,0,0.000918114,0.000918114,0.000918114
15,1531.88,1.13916,2.21825,1.42517,1.35997,0,0.64843,0.62234,0.65888,0.49376,0.68449,0.60121,0.65146,0.47893,1.25885,2.37315,1.47478,1.46816,0,0.000905463,0.000905463,0.000905463
16,1634.37,1.12933,2.2128,1.42298,1.35437,0,0.65559,0.64549,0.67431,0.51533,0.6601,0.64337,0.66666,0.48731,1.19696,2.22623,1.4148,1.4249,0,0.000892007,0.000892007,0.000892007
17,1735.65,1.12176,2.17937,1.39319,1.34497,0,0.64042,0.66704,0.68124,0.51756,0.64151,0.65381,0.6723,0.49326,1.22903,2.21534,1.39113,1.43717,0,0.00087777,0.00087777,0.00087777
18,1837.04,1.09408,2.1531,1.34776,1.32658,0,0.68368,0.69472,0.70981,0.53845,0.69163,0.68298,0.69884,0.51507,1.20386,2.20341,1.2983,1.43784,0,0.000862783,0.000862783,0.000862783
19,1938.95,1.0851,2.11128,1.31625,1.32295,0,0.6747,0.66267,0.69235,0.52728,0.6897,0.65601,0.68624,0.50434,1.21455,2.21592,1.39308,1.45081,0,0.000847076,0.000847076,0.000847076
20,2039.71,1.09007,2.10815,1.30495,1.31845,0,0.68886,0.65453,0.68439,0.52369,0.69524,0.64161,0.67511,0.50272,1.21754,2.23527,1.37627,1.44666,0,0.00083068,0.00083068,0.00083068
21,2141.18,1.07223,2.09129,1.29428,1.30904,0,0.72024,0.66934,0.71017,0.5445,0.72544,0.66368,0.70069,0.51539,1.17395,2.22661,1.32336,1.38662,0,0.000813627,0.000813627,0.000813627
22,2242.87,1.05653,2.05231,1.27446,1.30255,0,0.702,0.66031,0.69709,0.54335,0.69923,0.65522,0.69088,0.5173,1.16398,2.19178,1.34015,1.39205,0,0.000795954,0.000795954,0.000795954
23,2343.8,1.05614,2.03863,1.26412,1.29718,0,0.71934,0.64524,0.71239,0.54368,0.74313,0.64034,0.70912,0.51877,1.1754,2.13553,1.30037,1.40221,0,0.000777694,0.000777694,0.000777694
24,2444.66,1.04998,2.01514,1.23217,1.28684,0,0.7325,0.67341,0.73426,0.55916,0.7211,0.68309,0.72664,0.53247,1.18238,2.04795,1.23833,1.39929,0,0.000758885,0.000758885,0.000758885
25,2546.51,1.03863,2.01266,1.2297,1.28591,0,0.72482,0.67195,0.71414,0.55411,0.73711,0.67439,0.71352,0.53307,1.13961,2.06045,1.31404,1.36548,0,0.000739565,0.000739565,0.000739565
26,2647.4,1.03605,1.99945,1.20665,1.27942,0,0.71753,0.66111,0.71653,0.5529,0.7398,0.65496,0.71264,0.53108,1.16939,2.08488,1.2895,1.39167,0,0.000719772,0.000719772,0.000719772
27,2749.13,1.02657,1.97806,1.1897,1.26976,0,0.75718,0.70031,0.74419,0.58128,0.76001,0.69866,0.74021,0.55003,1.11217,2.02259,1.19711,1.34867,0,0.000699547,0.000699547,0.000699547
28,2850.31,1.00963,1.96495,1.16128,1.26067,0,0.75669,0.72077,0.75666,0.5886,0.76292,0.71536,0.74952,0.56349,1.10324,1.97502,1.17117,1.33425,0,0.000678931,0.000678931,0.000678931
29,2951.53,0.98992,1.9209,1.11937,1.24831,0,0.76272,0.70284,0.75516,0.5911,0.76878,0.69981,0.74963,0.55869,1.08894,1.99792,1.16451,1.31631,0,0.000657963,0.000657963,0.000657963
30,3052.62,0.99735,1.92679,1.13173,1.2506,0,0.76286,0.7222,0.7605,0.59814,0.76341,0.71846,0.75792,0.56926,1.09988,1.93454,1.12328,1.33186,0,0.000636688,0.000636688,0.000636688
31,3153.82,0.97794,1.89837,1.08525,1.23974,0,0.76964,0.7128,0.76688,0.6054,0.77634,0.70081,0.76082,0.57401,1.07288,1.91578,1.13894,1.30273,0,0.000615148,0.000615148,0.000615148
32,3254.91,0.97624,1.88276,1.09442,1.23384,0,0.78652,0.71461,0.78128,0.60951,0.7858,0.7051,0.77193,0.57674,1.06854,1.91983,1.10445,1.30106,0,0.000593386,0.000593386,0.000593386
